LUMOS KOPI SUSU SIGNATURE,LYCHEE YAKULT,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CAFE LATTE ICE,,,,,,
CAPPUCINO ICE,,,,,,,
HAZELNUT LATTE ICE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,BROWN SUGAR BOBA MILK TEA,,,,,,
LUMOS KOPI SUSU SIGNATURE,CARAMEL LATTE HOT,,,,,,
LYCHEE YAKULT,OKINAWA BROWN SUGAR BOBA MILK,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
STRAWBERRY SPARKLING,CINNAMON ROLL,,,,,,
BROWNIES,OKINAWA BROWN SUGAR BOBA MILK,,,,,,
LUMOS KOPI SUSU SIGNATURE,KOREAN GARLIC BREAD,,,,,,
CHOCO LATTE,CAFE LATTE ICE,,,,,,
GREENTEA MATCHA LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LONG BLACK HOT,CARAMEL LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
OKINAWA BROWN SUGAR BOBA MILK,,,,,,,
LYCHEE YAKULT,CINNAMON ROLL,OKINAWA BROWN SUGAR BOBA MILK,,,,,
BROWN SUGAR BOBA MILK TEA,OKINAWA BROWN SUGAR BOBA MILK,CINNAMON ROLL,,,,,
KOREAN GARLIC BREAD,CINNAMON ROLL,LUMOS KOPI SUSU SIGNATURE,,,,,
GREENTEA MATCHA LATTE,OKINAWA BROWN SUGAR BOBA MILK,STRAWBERRY SPARKLING,,,,,
OKINAWA BROWN SUGAR BOBA MILK,BROWN SUGAR BOBA MILK TEA,CARAMEL LATTE ICE,,,,,
KOREAN GARLIC BREAD,CHOCO LATTE,LUMOS KOPI SUSU SIGNATURE,,,,,
REDVELVET LATTE,KOREAN GARLIC BREAD,,,,,,
HAZELNUT LATTE ICE,CAPPUCINO ICE,KOREAN GARLIC BREAD,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
BANANA LATTE,,,,,,,
LUMOS KOPI SUSU SIGNATURE,CARAMEL LATTE ICE,,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LYCHEE YAKULT,,,,,,,
CAPPUCINO ICE,LONG BLACK ICE,AVOCADO PRESSO,,,,,
LUMOS KOPI SUSU SIGNATURE,,,,,,,
LONG BLACK HOT,LYCHEE YAKULT,,,,,,
LUMOS KOPI SUSU SIGNATURE,CHOCO LATTE,,,,,,
KOREAN GARLIC BREAD,,,,,,,
